underlying_symbol,quote_date,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
^VIX,2016-06-01,VIX,2016-06-01,10.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.2400,14.2400,0,0.0000,0,0.0000,14.2000,14.2000,0.0000,6,
^VIX,2016-06-01,VIX,2016-06-01,10.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.2400,14.2400,0,0.0000,0,0.0000,14.2000,14.2000,0.0000,0,
^VIX,2016-06-01,VIX,2016-06-01,10.500,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.2400,14.2400,0,0.0000,0,0.0000,14.2000,14.2000,0.0000,0,
^VIX,2016-06-01,VIX,2016-06-01,10.500,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.2400,14.2400,0,0.0000,0,0.0000,14.2000,14.2000,0.0000,0,
^VIX,2016-06-01,VIX,2016-06-01,11.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.2400,14.2400,0,0.0000,0,0.0000,14.2000,14.2000,0.0000,0,
^VIX,2016-06-01,VIX,2016-06-01,11.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.2400,14.2400,0,0.0000,0,0.0000,14.2000,14.2000,0.0000,0,
^VIX,2016-06-01,VIX,2016-06-01,11.500,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.2400,14.2400,0,0.0000,0,0.0000,14.2000,14.2000,0.0000,83,
^VIX,2016-06-01,VIX,2016-06-01,11.500,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.2400,14.2400,0,0.0000,0,0.0000,14.2000,14.2000,0.0000,0,
^VIX,2016-06-01,VIX,2016-06-01,12.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.2400,14.2400,0,0.0000,0,0.0000,14.2000,14.2000,0.0000,5,
^VIX,2016-06-01,VIX,2016-06-01,12.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.2400,14.2400,0,0.0000,0,0.0000,14.2000,14.2000,0.0000,0,
^VIX,2016-06-01,VIX,2016-06-01,12.500,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.2400,14.2400,0,0.0000,0,0.0000,14.2000,14.2000,0.0000,6,
^VIX,2016-06-01,VIX,2016-06-01,12.500,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.2400,14.2400,0,0.0000,0,0.0000,14.2000,14.2000,0.0000,10,
^VIX,2016-06-01,VIX,2016-06-01,13.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.2400,14.2400,0,0.0000,0,0.0000,14.2000,14.2000,0.0000,61,
^VIX,2016-06-01,VIX,2016-06-01,13.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.2400,14.2400,0,0.0000,0,0.0000,14.2000,14.2000,0.0000,32,
^VIX,2016-06-01,VIX,2016-06-01,13.500,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.2400,14.2400,0,0.0000,0,0.0000,14.2000,14.2000,0.0000,883,
^VIX,2016-06-01,VIX,2016-06-01,13.500,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.2400,14.2400,0,0.0000,0,0.0000,14.2000,14.2000,0.0000,1442,
^VIX,2016-06-01,VIX,2016-06-01,14.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.2400,14.2400,0,0.0000,0,0.0000,14.2000,14.2000,0.0000,223,
^VIX,2016-06-01,VIX,2016-06-01,14.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.2400,14.2400,0,0.0000,0,0.0000,14.2000,14.2000,0.0000,4479,
^VIX,2016-06-01,VIX,2016-06-01,14.500,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.2400,14.2400,0,0.0000,0,0.0000,14.2000,14.2000,0.0000,2017,
^VIX,2016-06-01,VIX,2016-06-01,14.500,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,14.2400,14.2400,0,0.0000,0,0.0000,14.2000,14.2000,0.0000,7369,
